text,category
my ac is not cooling properly,AC Repair
air conditioner is making loud noise,AC Repair
ac is leaking water,AC Repair
ac not turning on,AC Repair
air conditioner blowing hot air,AC Repair
ac compressor is not working,AC Repair
central air conditioning needs servicing,AC Repair
ac thermostat is broken,AC Repair
split ac installation needed,AC Repair
window ac is not cooling the room,AC Repair
ac refrigerant needs refilling,AC Repair
ac remote not working,AC Repair
ac filter needs cleaning,AC Repair
ducted ac system repair,AC Repair
ac making clicking sound,AC Repair
portable ac not functioning,AC Repair
ac outdoor unit is noisy,AC Repair
ac is freezing up,AC Repair
ac vent is blocked,AC Repair
ac capacitor needs replacement,AC Repair
tap is leaking in kitchen,Plumber
bathroom pipe is broken,Plumber
water heater not working,Plumber
toilet is clogged,Plumber
drain is blocked,Plumber
water pressure is very low,Plumber
pipe burst in basement,Plumber
need to install new faucet,Plumber
sewage line is blocked,Plumber
water tank overflow,Plumber
geyser is not heating water,Plumber
bathroom tap dripping continuously,Plumber
kitchen sink is clogged,Plumber
washing machine drain pipe leaking,Plumber
need plumber for new bathroom fitting,Plumber
underground water pipe leaking,Plumber
flush is not working properly,Plumber
water purifier installation needed,Plumber
shower head needs replacement,Plumber
bathtub drain is slow,Plumber
light switch not working,Electrician
power outlet is sparking,Electrician
ceiling fan not spinning,Electrician
electrical wiring needs repair,Electrician
circuit breaker keeps tripping,Electrician
need to install new light fixture,Electrician
electrical short circuit in house,Electrician
inverter is not charging,Electrician
mcb keeps tripping frequently,Electrician
need electrician for new wiring,Electrician
tube light flickering,Electrician
socket is not giving power,Electrician
doorbell not working,Electrician
chandelier installation needed,Electrician
generator repair needed,Electrician
ups system not working,Electrician
electrical panel upgrade needed,Electrician
outdoor lighting installation,Electrician
dimmer switch installation,Electrician
exhaust fan not working,Electrician
wall has cracks needs painting,Carpenter
door hinge is broken,Carpenter
wooden cabinet needs repair,Carpenter
furniture assembly needed,Carpenter
window frame is damaged,Carpenter
need new shelves installed,Carpenter
wardrobe door not closing,Carpenter
wooden floor needs polishing,Carpenter
table leg is broken,Carpenter
need carpenter for kitchen cabinet,Carpenter
roof is leaking during rain,Carpenter
wooden door needs replacement,Carpenter
bed frame squeaking,Carpenter
drawer slides broken,Carpenter
wooden staircase repair,Carpenter
bookshelf installation needed,Carpenter
window blinds need fixing,Carpenter
deck repair needed,Carpenter
fence installation required,Carpenter
pergola construction needed,Carpenter
washing machine not spinning,Appliance Repair
refrigerator not cooling,Appliance Repair
microwave not heating food,Appliance Repair
dishwasher is leaking,Appliance Repair
oven temperature is not accurate,Appliance Repair
dryer not drying clothes,Appliance Repair
vacuum cleaner lost suction,Appliance Repair
blender motor burned out,Appliance Repair
coffee maker not brewing,Appliance Repair
iron not heating up,Appliance Repair
toaster not working,Appliance Repair
food processor blade dull,Appliance Repair
garbage disposal jammed,Appliance Repair
ice maker not making ice,Appliance Repair
range hood fan not working,Appliance Repair
freezer is making strange noise,Appliance Repair
washing machine door wont open,Appliance Repair
electric kettle not boiling,Appliance Repair
mixer grinder jar leaking,Appliance Repair
induction cooktop not detecting vessels,Appliance Repair
