text,sentiment
excellent service very happy with the work,positive
great job fixed the problem quickly,positive
very professional and courteous technician,positive
amazing work done in no time,positive
highly recommended best service ever,positive
wonderful experience will hire again,positive
the technician was skilled and efficient,positive
perfect repair work very satisfied,positive
outstanding service and reasonable pricing,positive
loved the quality of work done,positive
prompt response and excellent workmanship,positive
the repair was done perfectly thank you,positive
very knowledgeable and friendly technician,positive
superb service exceeded my expectations,positive
fantastic job well done,positive
the service was okay nothing special,neutral
average work could be better,neutral
it was fine not great not bad,neutral
decent service took some time though,neutral
the work was acceptable,neutral
normal service nothing to complain about,neutral
standard repair job nothing extraordinary,neutral
the technician came on time and did the job,neutral
it was an average experience overall,neutral
the service met basic expectations,neutral
satisfactory work but room for improvement,neutral
regular service nothing memorable,neutral
the job was completed adequately,neutral
moderate quality of work,neutral
the experience was neither good nor bad,neutral
terrible service very disappointed,negative
the technician was rude and unprofessional,negative
worst experience ever do not recommend,negative
very poor quality of work,negative
the problem was not fixed properly,negative
overcharged for a simple repair,negative
the technician arrived very late,negative
extremely bad service never hiring again,negative
the repair broke again within a day,negative
wasted my money on this service,negative
horrible experience the technician was clueless,negative
the work quality was abysmal,negative
very unsatisfied with the service provided,negative
the technician left a mess behind,negative
completely unprofessional behavior,negative
